Wall time,Step,Value
1696887827.6385562,3796992,-688.7667236328125
1696887878.693003,3801088,-698.0364379882812
1696887929.6986463,3805184,-735.5759887695312
1696887980.5465536,3809280,-754.2655639648438
1696888031.5632808,3813376,-662.3515014648438
1696888082.5137837,3817472,-732.6712036132812
1696888133.46454,3821568,-798.8331298828125
1696888235.083426,3829760,-589.8182373046875
1696888439.3151975,3846144,-599.11474609375
1696888542.05249,3854336,-494.1147155761719
1696888593.2323468,3858432,-545.6450805664062
1696888747.2563224,3870720,-710.3773193359375
1696888953.111113,3887104,-561.9363403320312
1696889106.4040942,3899392,-511.08172607421875
1696889208.1262584,3907584,-618.7498779296875
1696889261.3885303,3911680,-659.7344970703125
1696889320.49474,3915776,-709.3984375
1696889556.7055035,3932160,-669.09130859375
1696889667.0704749,3940352,-687.9651489257812
1696889718.426072,3944448,-749.0182495117188
1696889769.8692784,3948544,-715.7017822265625
1696889821.2552743,3952640,-586.009521484375
1696889924.2528057,3960832,-546.460205078125
1696889975.8334424,3964928,-568.6712036132812
1696890128.0621696,3977216,-590.057861328125
1696890381.750629,3997696,-714.1441040039062
1696890483.661981,4005888,-728.6298217773438
1696890534.7701857,4009984,-771.531005859375
1696890636.1707842,4018176,-566.8323974609375
1696890687.2478783,4022272,-556.7398071289062
1696890889.7487733,4038656,-592.3834838867188
1696890991.0679626,4046848,-646.1224365234375
1696891041.7017012,4050944,-642.5801391601562
1696891092.5322537,4055040,-728.7527465820312
1696891193.9809167,4063232,-718.45947265625
1696891295.9610622,4071424,-714.8812255859375
1696891347.3999326,4075520,-739.3484497070312
1696891398.8351035,4079616,-696.3780517578125
1696891500.8592477,4087808,-728.3057861328125
1696891551.626715,4091904,-710.6964111328125
1696891653.3735833,4100096,-712.4663696289062
1696891704.2330341,4104192,-691.0411987304688
1696891755.0159237,4108288,-723.3995971679688
1696891805.7585433,4112384,-745.75439453125
1696891856.4612682,4116480,-730.18408203125
1696891907.4109583,4120576,-789.322998046875
1696892161.8047442,4141056,-645.58056640625
1696892263.6171234,4149248,-671.3364868164062
1696892365.3324077,4157440,-673.4375610351562
1696892416.4091322,4161536,-694.0941772460938
1696892467.5597394,4165632,-741.8740234375
1696892722.7061622,4186112,-795.6620483398438
1696892927.14806,4202496,-557.4483642578125
1696893029.3488781,4210688,-545.3518676757812
1696893080.5110428,4214784,-630.3507690429688
1696893389.97042,4239360,-759.3934326171875
1696893442.0559504,4243456,-707.6621704101562
1696893493.814104,4247552,-788.684326171875
1696893545.5031579,4251648,-781.16845703125
1696893597.4429529,4255744,-576.9942626953125
1696893804.5886528,4272128,-629.0884399414062
1696893908.4330845,4280320,-661.084228515625
1696893960.3792934,4284416,-677.4077758789062
1696894271.129449,4308992,-614.5697021484375
1696894323.0969748,4313088,-479.79486083984375
1696894478.2015698,4325376,-584.6763916015625
1696894581.7983258,4333568,-531.438720703125
1696894633.3760831,4337664,-519.90869140625
1696894685.1303775,4341760,-579.9340209960938
1696894788.0332196,4349952,-634.9424438476562
1696894942.3343763,4362240,-661.17626953125
1696894993.833195,4366336,-750.375244140625
1696895045.4967065,4370432,-793.6184692382812
1696895147.4601314,4378624,-568.5759887695312
1696895198.2236903,4382720,-501.8533935546875
1696895248.995172,4386816,-519.9370727539062
1696895299.7835243,4390912,-551.9994506835938
1696895350.654909,4395008,-564.78857421875
1696895401.5055952,4399104,-607.7730102539062
1696895554.1470792,4411392,-716.1886596679688
1696895605.017931,4415488,-685.5801391601562
1696895706.537267,4423680,-751.896728515625
1696895757.2868934,4427776,-719.0933227539062
1696895807.995618,4431872,-742.6083984375
1696895960.1224408,4444160,-689.7086791992188
1696896010.972513,4448256,-666.6367797851562
1696896062.1054723,4452352,-751.037841796875
1696896265.5697203,4468736,-500.6058349609375
1696896316.1900837,4472832,-538.4088745117188
1696896367.2648752,4476928,-637.7736206054688
1696896621.4727447,4497408,-750.6193237304688
1696896723.087348,4505600,-648.15673828125
1696896825.4181478,4513792,-685.5270385742188
1696896876.4562445,4517888,-695.360595703125
1696896927.1710722,4521984,-739.1602783203125
1696897079.5723186,4534272,-530.8228759765625
1696897130.5054498,4538368,-539.618408203125
1696897181.6556845,4542464,-571.0752563476562
1696897232.9204865,4546560,-588.5165405273438
1696897283.9117498,4550656,-655.419677734375
1696897334.523296,4554752,-616.492431640625
1696897385.245923,4558848,-660.4600830078125
1696897435.9040208,4562944,-717.815673828125
1696897537.439668,4571136,-770.7191162109375
1696897689.984492,4583424,-764.5171508789062
1696897797.8917143,4591616,-686.2659912109375
1696897857.0046787,4595712,-701.3745727539062
1696898034.1952004,4608000,-771.536865234375
1696898093.268244,4612096,-797.6652221679688
1696898211.2304509,4620288,-553.645263671875
1696898270.1161146,4624384,-530.2361450195312
1696898329.497178,4628480,-621.984375
1696898388.5682304,4632576,-603.30078125
1696898447.6773841,4636672,-623.1652221679688
1696898565.8481188,4644864,-664.6967163085938
1696898625.0679893,4648960,-730.8851928710938
1696898684.4005256,4653056,-781.4542846679688
1696898861.4370801,4665344,-678.4614868164062
1696899029.7622948,4677632,-723.475830078125
1696899182.5590057,4689920,-740.733642578125
1696899238.9345918,4694016,-775.6974487304688
1696899357.5305667,4702208,-482.9928283691406
1696899416.380782,4706304,-514.8695068359375
1696899470.1699464,4710400,-565.2073364257812
1696899521.118067,4714496,-572.8056640625
1696899571.859743,4718592,-559.1327514648438
1696899622.752138,4722688,-707.5277099609375
1696899724.586832,4730880,-766.6190185546875
1696899927.1312983,4747264,-717.4794921875
1696899977.796511,4751360,-698.348876953125
1696900078.9481528,4759552,-771.0377197265625
1696900193.9820898,4767744,-797.6693725585938
1696900311.4081006,4775936,-711.9312133789062
1696900370.417186,4780032,-782.4081420898438
1696900724.964229,4804608,-694.5302124023438
1696900783.9049172,4808704,-732.81494140625
1696900901.9714994,4816896,-704.8695068359375
1696900960.9202502,4820992,-746.55029296875
1696901019.687223,4825088,-728.91748046875
1696901255.5547829,4841472,-824.5324096679688
1696901373.1313534,4849664,-524.2723388671875
1696901489.0833757,4857856,-594.153564453125
1696901591.2650218,4866048,-654.0007934570312
1696901642.5049517,4870144,-628.6776123046875
1696901693.4550653,4874240,-638.3760375976562
1696901846.3870082,4886528,-710.9066772460938
1696901897.3080459,4890624,-723.2378540039062
1696901948.1279528,4894720,-761.7396240234375
1696902050.2877278,4902912,-788.8395385742188
1696902101.1998625,4907008,-828.2499389648438
1696902253.0112233,4919296,-550.0210571289062
1696902303.7999823,4923392,-613.9072875976562
1696902455.7307284,4935680,-590.3472900390625
1696902506.7763329,4939776,-689.0363159179688
1696902558.3417182,4943872,-740.3370361328125
1696902661.1493177,4952064,-732.4017333984375
1696902866.6564026,4968448,-524.7898559570312
1696902917.8703225,4972544,-522.7783203125
1696902968.8967447,4976640,-604.756591796875
1696903070.8239064,4984832,-581.9781494140625
1696903122.0485127,4988928,-643.1898803710938
1696903327.5473628,5005312,-690.9114990234375
1696903379.0194993,5009408,-661.0299072265625
1696903481.486503,5017600,-718.8215942382812
1696903635.601215,5029888,-566.404541015625
1696903687.1596167,5033984,-551.0321044921875
1696903841.4500184,5046272,-690.1490478515625
1696903892.8245404,5050368,-692.8692626953125
1696904149.7965739,5070848,-755.0559692382812
1696904252.1026242,5079040,-783.7755126953125
1696904303.2683322,5083136,-588.703369140625
1696904354.4738035,5087232,-525.86083984375
1696904405.73026,5091328,-555.0160522460938
1696904456.534749,5095424,-562.6157836914062
1696904507.6396704,5099520,-588.5230712890625
1696904558.833581,5103616,-650.1370239257812
1696904712.0397415,5115904,-632.7437744140625
1696904762.703571,5120000,-661.8165283203125
1696904813.6123416,5124096,-717.8500366210938
1696904864.150401,5128192,-708.662109375
1696904965.9053311,5136384,-703.6354370117188
1696905067.0083256,5144576,-760.862060546875
1696905117.733843,5148672,-766.0958862304688
1696905270.0842462,5160960,-733.115478515625
1696905320.864104,5165056,-683.367431640625
1696905473.4594848,5177344,-590.8350830078125
1696905627.605376,5189632,-568.357177734375
1696905831.344415,5206016,-773.999267578125
1696906084.3846083,5226496,-561.5679321289062
